"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,20,0,101,0,0,0,0,0,0,0,0,0,0,0
"110",NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"111",NA,NA,40,NA,NA,NA,NA,NA,NA,0,0,6,NA,10,20,60,NA,2,0,200,50,NA,478,0,448,0,1464,0
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,300,0,5,350,0,6,15
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,40,115,120,190,NA,61,4,112,212,29,14,16,97,5
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,NA,492,360,171,31,850,216,848,87,286,308,NA,233
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,155,104,0,47
"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,112,35,15,92,NA,0,0,0,0,60,0,0,22,118
"117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,36,NA,0,0,0,0,0,0,3,48,1
"118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,NA,0,0,0,0,0,52,NA,0,0
"119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,23,0,0,64,0
"120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,2,0,0,0
"121",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,33,43,6,0,38,0,45,14,10,0,0,0
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,40,NA,NA,0,NA,0,90,0,0,NA
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0,0,NA,0,NA,NA,121,NA
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,0,0,NA,0,0,10,25,450
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,0,0,0,0,0,0,75,417
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,0,0,4
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,NA,NA,NA,120,30,11,NA,145,120,57,150,72,85,23
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,0,0,120,80,0,0,NA,NA,NA
"129",NA,0,4,800,503,NA,310,3306,770,4500,282,3300,36,NA,869,236,289,342,0,0,0,0,0,0,0,0,0,2
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,340,128,0,NA,NA,0,0
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4,0,0,NA,NA,NA,12,0,0,0,16,0
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA
"134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,800,NA,0,0,NA,0,0,0,0,0,0
"135",0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,8,1050,0,NA,0,15,0,10,0,0,0,0
"136",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,45,NA,0,0,0,0,0
"137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5,16,47,103
"138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6,NA,NA,120,12,80,48,410,68
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,680,NA,850,NA,80,496,410,2884,1502,105
"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,25,268,568,1191
"141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,0,0,6
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,20,10,25,NA,NA,38,28,NA,NA,77,40
"143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,0,4,0,NA,NA,110,30,NA,NA,45,65
"144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,8,0,73
