"","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012"
"1771",13,12,0,0,2,0,8,0,0,0,0,0,11,0,0,17,0,0,158,0,0
"1772",33,37,0,0,4,0,2,0,0,25,0,44,0,0,0,18,0,50,2,0,0
"1773",0,350,0,0,275,0,654,410,0,750,0,450,409,0,0,1290,0,2575,2580,0,0
"1784",0,9,0,0,44,0,301,0,0,185,0,42,219,0,0,0,2,0,5,0,0
"1895",0,0,1100,0,0,0,0,0,0,1510,0,1610,0,0,0,825,0,0,0,0,0
"1899",0,6,0,0,0,0,7,35,0,55,0,183,0,0,0,0,0,0,0,0,0
"1908",0,0,1300,0,0,0,0,0,0,1820,0,298,0,0,0,0,0,48,0,173,0
"1947",210,62,0,0,57,0,0,114,71,0,93,72,117,0,71,72,69,0,0,0,0
"2079",219,236,135,247,330,0,183,511,347,0,937,0,177,543,586,726,477,265,1069,550,138
"2092",1050,650,0,150,95,790,325,315,128,0,2230,0,0,0,0,1667,356,0,1850,931,598
"2093",278,342,250,82,168,0,238,182,0,450,98,0,0,0,0,0,0,0,0,0,0
"2097",35,88,0,160,24,0,0,0,0,0,35,360,10,34,13,36,0,102,0,75,0
"2134",0,0,126,0,80,0,0,0,0,0,0,190,0,0,0,0,0,0,384,0,0
"2179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"2191",164,10,0,0,0,0,189,0,0,0,0,12,0,0,0,0,2,0,0,0,0
"2192",18,9,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,2,0,0,0
"2193",0,7,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2206",0,0,0,0,0,0,2622,0,0,3766,0,4045,0,0,0,0,1750,2487,0,0,0
"2251",22,26,7,0,12,90,10,24,0,0,77,131,72,0,0,71,0,185,253,0,0
"2252",88,62,118,0,130,60,100,99,0,52,210,337,52,0,0,51,0,315,253,0,0
"2253",12,58,34,0,38,24,19,7,0,0,0,17,261,0,0,107,0,357,411,0,0
"2254",14,74,4,0,0,82,28,59,0,56,0,0,193,0,0,170,0,250,316,0,0
"2255",17,12,51,0,8,0,26,7,0,34,31,2,17,0,0,0,0,6,17,0,0
"2256",89,51,15,0,29,0,289,92,0,0,0,264,66,0,0,0,100,42,0,0,58
"2257",74,109,11,0,58,0,111,0,0,108,0,34,89,0,0,0,28,138,0,0,11
"2259",241,62,80,0,0,0,90,38,0,0,0,261,149,0,0,0,31,53,0,0,32
"2260",81,52,70,0,150,0,181,470,0,0,0,347,224,0,0,0,235,482,0,0,281
"2263",35,95,75,0,0,0,67,28,0,68,33,77,0,0,0,0,133,0,0,0,185
"2264",146,185,280,0,180,0,129,104,0,272,296,0,0,0,0,0,125,0,0,0,30
"2267",75,120,160,0,33,0,61,16,0,10,0,54,96,0,0,13,0,37,162,0,181
"2268",0,9,45,0,10,0,8,45,0,22,0,0,0,0,0,0,24,0,0,0,11
"2269",145,36,25,0,18,0,21,1,0,15,0,0,47,0,0,52,0,21,167,0,0
"2270",350,850,380,0,45,250,25,92,0,0,0,0,48,0,17,0,12,0,83,0,20
"2274",96,650,500,0,560,0,1195,1047,0,1121,1316,475,0,0,0,0,516,0,0,0,1000
"2301",0,0,0,0,10,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
"2304",53,130,0,0,12,0,0,62,0,0,0,310,0,0,0,0,0,0,139,0,0
"2306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2321",1231,0,0,296,0,0,0,0,0,0,0,0,0,0,676,0,0,0,0,0,615
"2450",4050,2282,0,0,1769,2800,2450,1902,2730,1995,2295,2225,0,0,0,0,0,4558,0,0,3309
"2451",1001,0,195,0,540,460,582,0,272,381,115,318,359,382,0,0,0,226,692,0,935
"2458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"2470",0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2478",0,0,0,0,80,354,0,12,0,17,0,30,41,0,0,65,0,0,0,0,0
"2708",93,0,0,0,0,151,0,0,0,81,122,98,0,0,0,0,0,0,0,0,0
"2717",0,0,0,0,0,0,0,0,0,0,620,290,0,0,0,0,0,0,0,67,0
"2718",0,0,0,0,64,0,0,0,0,103,153,165,0,0,0,0,0,0,0,25,0
"2720",0,220,150,110,0,220,0,0,0,0,175,320,0,0,0,0,0,0,0,0,0
"2725",0,0,0,0,0,0,0,0,0,0,72,94,0,0,0,0,0,0,0,0,0
"2726",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2731",0,0,0,0,0,0,0,0,0,0,8,82,0,78,0,0,0,0,0,0,0
"2733",0,0,0,0,0,0,12,0,0,0,32,69,0,0,0,0,31,0,0,58,74
"2737",0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"2739",0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0
"2801",311,187,0,0,0,458,0,0,0,570,0,0,0,0,0,414,0,653,600,0,0
"2812",190,160,0,0,85,240,380,0,137,0,0,250,0,200,0,0,109,0,303,0,1282
"2813",200,320,0,0,228,175,260,0,210,0,0,238,0,60,0,96,180,0,630,0,0
"2817",879,2652,0,814,0,1451,1904,1623,1698,1318,832,1204,302,0,0,0,597,109,328,0,0
"2818",0,0,0,274,0,304,602,328,2736,279,65,72,114,231,0,0,0,0,476,0,0
"2819",2606,896,0,1111,1100,795,848,1450,551,1451,568,1091,1031,0,0,0,562,0,472,0,0
"2820",3064,2182,0,1118,779,538,837,526,611,541,627,1038,402,0,0,0,192,0,525,0,0
"2821",307,0,0,43,141,90,69,40,214,41,66,17,67,85,0,14,33,14,12,0,0
"2822",1130,1273,0,283,230,219,337,482,60,227,170,270,159,381,0,103,115,167,155,0,0
"2823",1094,742,0,87,366,1130,332,348,159,259,411,231,33,0,0,32,75,0,43,0,0
"2824",2490,1419,0,667,736,1087,727,780,766,885,545,902,795,1091,0,0,1123,0,931,0,0
"2825",1079,545,0,382,560,253,242,462,1131,205,1335,749,102,618,0,249,311,442,746,0,0
"2826",2095,1338,0,2144,1088,743,2770,1754,1460,1534,844,2730,2198,919,0,0,484,0,1028,0,0
"2827",0,417,0,388,782,466,638,584,0,321,187,0,0,0,0,0,320,287,216,587,0
"2828",0,377,0,0,34,0,0,102,0,2,5,0,0,0,0,0,21,0,5,211,0
"2830",0,0,0,452,0,0,506,588,786,214,0,617,0,0,0,0,68,178,144,2350,0
"2860",0,412,0,0,0,363,388,0,0,0,0,445,0,0,0,0,0,0,0,0,0
"2861",0,659,0,0,0,142,186,0,0,0,0,406,0,0,0,0,0,0,0,0,0
"2862",0,1159,0,0,0,595,763,0,0,0,0,470,0,0,0,0,0,0,0,0,0
"2863",0,2183,0,0,0,374,603,0,0,0,0,508,0,0,0,0,0,0,0,0,0
